,Feature,Correlation,P-value
109,IL10,0.1489681997568931,0.5818908158365184
203,SLAMF1,0.14749326708603278,0.5856764094803305
70,CXCL14,0.14159353640259145,0.6009191469257025
113,IL12p70,0.14159353640259145,0.6009191469257025
38,CD276,0.1386436710608708,0.608599612326425
219,TNFRSF17,0.12241941168140719,0.6515128498181397
39,CD3E,0.11651968099796589,0.6673844601558345
211,TIMP2,0.11651968099796589,0.6673844601558345
160,IL9,0.11504474832710557,0.6713734161180311
44,CD70,0.11504474832710557,0.6713734161180311
245,WNT16,0.11504474832710557,0.6713734161180311
14,CCL14,0.11209488298538489,0.6793759555337304
83,FGF21,0.10914501764366424,0.6874107174734024
246,WNT7A,0.1017703542893626,0.7076336926675434
240,VEGFA,0.09734555627678164,0.719856987992733
215,TNFRSF11B,0.09734555627678164,0.719856987992733
88,FTH1,0.09734555627678164,0.719856987992733
41,CD40,0.08997089292247998,0.740369953239757
164,KLRK1,0.07817143155559737,0.7735293350820993
210,TIMP1,0.07817143155559737,0.7735293350820993
84,FGF23,0.07669649888473705,0.7777014462057079
148,IL36B,0.07374663354301639,0.7860626678128033
47,CD93,0.07374663354301639,0.7860626678128033
141,IL27,0.06637197018871475,0.8070600378043984
201,SELP,0.06194717217613376,0.8197189411640142
45,CD80,0.057522374163552784,0.8324197118219858
99,ICAM1,0.057522374163552784,0.8324197118219858
26,CCL26,0.05457250882183212,0.8409087270183191
72,CXCL2,0.053097576150971805,0.8451594625175538
149,IL36G,0.050147710809251136,0.8536728490602119
62,CTSS,0.048816568047337285,0.8575195784630092
186,NCR1,0.04867277813839082,0.857935283223658
97,HGF,0.0427730474549495,0.875020750793732
92,GFAP,0.0427730474549495,0.875020750793732
25,CCL25,0.0427730474549495,0.875020750793732
231,TNFSF14,0.03539838410064786,0.8964497590771081
140,IL24,0.029498653417206554,0.9136420995095548
77,CXCL9,0.026548788075485902,0.9222522055991307
0,AGER,0.025073855404625568,0.9265603524426025
40,CD4,0.023598922733765244,0.9308704128110734
130,IL19,0.014749326708603277,0.9567646840852796
185,NAMPT,0.014749326708603277,0.9567646840852796
17,CCL17,0.011799461366882622,0.9654063302283895
144,IL32,0.011799461366882622,0.9654063302283895
3,ANGPT2,0.004424798012580983,0.9870242694015035
213,TNF,0.0,1.0
52,CRP,-0.007374663354301638,0.9783752877075891
114,IL12RB1,-0.016224259379463604,0.9524454966030693
178,MMP1,-0.016224259379463604,0.9524454966030693
116,IL13RA2,-0.019174124721184262,0.9438109553529554
173,LTA|LTB,-0.019174124721184262,0.9438109553529554
229,TNFSF12,-0.02064905739204459,0.9394958263521531
30,CCL4,-0.026548788075485902,0.9222522055991307
136,IL2,-0.03097358608806688,0.9093403634373243
95,GZMB,-0.036873316771508194,0.8921581290887269
239,VCAM1,-0.038348249442368525,0.8878693028318898
181,MMP8,-0.03982318211322885,0.883583390836482
101,IFNA1; IFNA13,-0.044247980125809834,0.8707442428289804
22,CCL22,-0.050147710809251136,0.8536728490602119
29,CCL3,-0.051622643480111474,0.8494142059692874
65,CXCL1,-0.053097576150971805,0.8451594625175538
137,IL20,-0.053097576150971805,0.8451594625175538
42,CD40LG,-0.05457250882183212,0.8409087270183191
19,CCL2,-0.056047441492692446,0.8366621075245623
225,TNFRSF8,-0.06784690285957508,0.8028502027408946
119,IL16,-0.07669649888473705,0.7777014462057079
131,IL1B,-0.08407116223903868,0.7568999530922496
242,VEGFD,-0.08407116223903868,0.7568999530922496
243,VSNL1,-0.08702102758075933,0.7486221263314996
177,MIF,-0.09439569093506098,0.7280415422043793
236,TNFSF9,-0.09439569093506098,0.7280415422043793
34,CD200,-0.09439569093506098,0.7280415422043793
179,MMP12,-0.09439569093506098,0.7280415422043793
176,MICB,-0.1017703542893626,0.7076336926675434
32,CCL7,-0.10619515230194361,0.6954769577946154
122,IL17B,-0.11356981565624523,0.6753706118208467
13,CCL13,-0.11356981565624523,0.6753706118208467
216,TNFRSF13B,-0.11356981565624523,0.6753706118208467
87,FLT4,-0.11504474832710557,0.6713734161180311
33,CCL8,-0.11651968099796589,0.6673844601558345
230,TNFSF13,-0.11799461366882621,0.6634038351393431
218,TNFRSF14,-0.11799461366882621,0.6634038351393431
193,PDGFA,-0.11946954633968654,0.6594316317426938
127,IL18,-0.12094447901054688,0.6554679401036361
82,FGF2,-0.12094447901054688,0.6554679401036361
73,CXCL3,-0.12684420969398819,0.6397000748040996
60,CTF1,-0.1327439403774295,0.6240754655595819
172,LTA,-0.13569380571915016,0.6163186065155661
6,BDNF,-0.14159353640259145,0.6009191469257025
108,IKBKG,-0.1445434017443121,0.5932778645281549
76,CXCL8,-0.14601833441517245,0.589472118703361
2,ANGPT1,-0.1489681997568931,0.5818908158365184
143,IL2RB,-0.15191806509861375,0.5743502880178653
182,MMP9,-0.15634286311119475,0.5631173008354626
75,CXCL6,-0.1592927284529154,0.5556813962501983
204,SPP1,-0.16666739180721704,0.5372805756906409
194,PDGFB,-0.16814232447807737,0.5336333768768156
158,IL7,-0.175516987832379,0.5155660431964474
28,CCL28,-0.17699192050323934,0.5119867819213351
94,GZMA,-0.17994178584495996,0.5048629931795912
1,AGRP,-0.18879138187012195,0.48377407280426166
78,EGF,-0.19911591056614425,0.45971959880351076
103,IFNB1,-0.19911591056614425,0.45971959880351076
196,S100A12,-0.20796550659130622,0.43958629933793625
61,CTLA4,-0.20796550659130622,0.43958629933793625
226,TNFRSF9,-0.21091537193302684,0.4329767631746483
51,CNTF,-0.21976496795818887,0.413458314580193
31,CCL5,-0.23303936199593178,0.3850699440723352
20,CCL20,-0.24188895802109375,0.3667497988728229
74,CXCL5,-0.2507385540462557,0.348922716375079
86,FLT3LG,-0.27433747678002096,0.30383913313538047
55,CSF2,-0.2831870728051829,0.2878661725071164
120,IL17A,-0.2890868034886242,0.2775028407208985
161,IRAK4,-0.3038361301972275,0.2525964557403824
121,IL17A|IL17F,-0.3082609282098085,0.24540396232609923
53,CSF1,-0.3082609282098085,0.24540396232609923
168,LCN2,-0.31121079355152914,0.2406805933220545
189,OSM,-0.32596012026013244,0.21792163076053944
147,IL36A,-0.32743505293099273,0.21572417401136842
151,IL4,-0.33185985094357373,0.2092170588597428
18,CCL19,-0.3938070231197075,0.13124398103772666
81,FGF19,-0.3967568884614282,0.1281225847614821
11,CCL1,-0.42478060920777444,0.10099307883632515
104,IFNG,-0.4955773774090701,0.050929761726684904
105,IFNL1,-0.5059019061050924,0.04557188492776518
112,IL12B,-0.6283213177864996,0.00914417238581775
106,IFNL2; IFNL3,-0.6828938266083318,0.003551180169135501
