x,y
4.502196266331662,17.565270118968577
4.643624809045228,17.642385915933737
4.747201379633975,17.67169889566476
4.785053351758798,17.66531365859752
4.926481894472364,17.682032847648486
5.067910437185933,17.663501634553718
5.209338979899499,17.6092716874208
5.29268278900388,17.54458025159696
5.350767522613069,17.4939835169045
5.492196065326635,17.3693464725693
5.298016387605893,17.3147552562814
5.383624608040204,17.230005270965638
5.458888447292722,17.13577771859296
5.52505315075377,17.047325414443026
5.5842076916361885,16.95680018090452
5.66648169346734,16.815988003881824
5.6877130320600955,16.777822643216076
5.778818653035078,16.598845105527634
5.807910236180909,16.535770531019317
5.862849042755149,16.41986756783919
5.938001290598371,16.240890030150748
5.949338778894475,16.213081225492513
6.016204021523486,16.061912492462305
6.08676074404881,15.882934954773866
6.090767321608045,15.872838842559482
6.1656982020878175,15.703957417085425
6.232195864321611,15.538025640941488
6.2381733678162075,15.52497987939698
6.320152770729446,15.346002341708536
6.37362440703518,15.21959739218157
6.39859399105084,15.167024804020096
6.479637969316806,14.988047266331655
6.515052949748746,14.9028007347454
6.557807413212367,14.809069728643212
6.62955691355078,14.63009219095477
6.656481492462316,14.55377647173602
6.697001557820372,14.451114653266329
6.7573038470848745,14.272137115577884
6.797910035175882,14.129264825206036
6.809987180188899,14.093159577889445
6.865055902425004,13.914182040201002
6.912720104378704,13.73520450251256
6.93933857788945,13.628148243700236
6.961017805067192,13.556226964824116
7.012193452477324,13.377249427135672
7.058789367300173,13.19827188944723
7.080767120603017,13.11063365669172
7.108991680925356,13.019294351758788
7.161539267525969,12.840316814070349
7.210295112413006,12.661339276381906
7.222195663316587,12.616958778569613
7.267431455402201,12.482361738693465
7.323022799946442,12.30338420100502
7.363624206030153,12.161266179385132
7.376811882818928,12.124406663316575
7.485846510896532,11.945429125628138
7.558790142185311,11.766451587939695
7.599497193188166,11.694838530330191
7.65548412429879,11.587474050251252
7.727215089139408,11.40849651256281
7.79175861366903,11.229518974874368
7.7964812914572885,11.154763477371866
7.811657173054772,11.050541437185924
7.838372504114546,10.871563899497485
7.85685203626278,10.692586361809042
7.846247064552618,10.5136088241206
7.7037585465851715,10.334631286432156
7.78527825522349,10.227626171326737
7.765308655956074,10.155653748743712
7.951194220272773,9.976676211055276
7.934683234144019,9.797698673366831
7.9185035575429135,9.618721135678388
7.906476046599533,9.439743597989944
7.903301711774282,9.260766060301505
7.913508620090688,9.08178852261306
7.916180482147585,8.984371956340865
7.820688099921784,8.90281098492462
7.845572764466588,8.723833447236178
7.8119949897734315,8.676145064132385
7.835873598635994,8.544855909547735
8.067458620206299,8.4549028550588
8.105052234330284,8.365878371859292
8.156255583972497,8.247406210709403
8.17279126531768,8.08690083417085
8.245052547738698,7.912351721188218
8.747721997876841,7.90792329648241
8.826469861880812,7.828945758793967
8.86609295008437,7.649968221105524
9.373261777202309,7.470990683417082
9.350656090818378,7.292013145728639
9.297197191607882,7.113035608040196
9.245052547738698,7.202815686544985
8.713067599531565,7.134058070351757
8.353624005025129,6.763107626789436
9.073273695536129,5.755080532663314
8.562195462311562,5.981823006766217
8.282568840388624,6.576102994974871
7.9707669195979935,7.211638398928424
7.984447431893018,7.197125457286429
7.983546657184218,6.618147919597986
7.779338376884427,6.210902930298123
7.90128705337271,6.039170381909543
7.841941541860579,5.860192844221102
7.8379098341708575,5.841302193425776
7.81264433091054,5.6812153065326605
7.846124741626219,5.502237768844218
7.861058611255725,5.323260231155775
7.727631477535966,5.144282693467332
8.09205786450017,4.965305155778893
7.951800785057263,4.78632761809045
7.530523572462069,4.607350080402007
7.577846984147839,4.428372542713563
7.546481291457287,4.393034644278867
7.501639395133628,4.2493950050251215
7.749251320336854,4.070417467336679
7.694598873981058,3.8914399296482394
7.637807676673818,3.712462391959797
7.580052748743722,3.5415592757351573
7.553858296605175,3.5334848542713537
7.502870016014137,3.354507316582911
7.450143008192489,3.17552977889447
7.394549611919792,2.9965522412060275
7.334660810644004,2.817574703517584
7.2886242060301525,2.720268773892662
7.250526935104307,2.638597165829143
7.195141762503793,2.4596196281407003
7.136559899669026,2.2806420904522593
7.074621443789397,2.1016645527638165
7.0221956633165865,1.9771494040649913
6.988322809220686,1.9226870150753737
6.933797248193349,1.7437094773869326
6.902288034871135,1.5647319396984898
6.894294483569117,1.385754402010047
6.883398699550385,1.211022626138461
6.9090257848140535,1.206776864321606
6.905591900689412,1.027799326633163
6.899199683435621,0.8488217889447203
6.889192995420277,0.6698442512562792
6.8747651928849,0.4908667135678364
6.899864893678925,0.4855177795385483
6.895481832225383,0.3118891758793936
6.88696397995539,0.1329116381909525
6.873349567293809,-0.0460658994974903
6.863699508860092,-0.185582899775901
6.8815805660643345,-0.2250434371859313
6.867143836551234,-0.4040209748743741
6.7768291014231306,-0.582998512562817
6.702534124041263,-0.6814494795009246
6.639231043571947,-0.761976050251258
6.525411324883131,-0.9409535879397009
6.515052949748746,-1.0059728000245014
6.46046332412005,-1.1199311256281437
6.37362440703518,-1.2620617245934964
6.354522780778471,-1.2989086633165847
6.251656664924747,-1.4778862010050275
6.232195864321611,-1.5085764227104623
6.156431262331674,-1.6568637386934704
6.090767321608045,-1.772415358652383
6.06052240368174,-1.8358412763819112
5.969208416928609,-2.0148188140703542
5.949338778894474,-2.0514150495033032
5.882630946107449,-2.1937963517587953
5.807910236180909,-2.332965307831741
5.7887200645984285,-2.372773889447238
5.694015232662039,-2.551751427135681
5.66648169346734,-2.5984686104136863
5.593942737939954,-2.730728964824122
5.52505315075377,-2.839729618726326
5.48230753019492,-2.909706502512565
5.383624608040204,-3.052104270300614
5.4578305177501365,-2.9886840402010075
5.342196065326634,-3.1372784937103
