,FlowSOM_metacluster_V1,FlowSOM_metacluster_1,FlowSOM_metacluster_10,FlowSOM_metacluster_11,FlowSOM_metacluster_12,FlowSOM_metacluster_13,FlowSOM_metacluster_14,FlowSOM_metacluster_15,FlowSOM_metacluster_16,FlowSOM_metacluster_17,FlowSOM_metacluster_18,FlowSOM_metacluster_19,FlowSOM_metacluster_2,FlowSOM_metacluster_20,FlowSOM_metacluster_21,FlowSOM_metacluster_22,FlowSOM_metacluster_23,FlowSOM_metacluster_24,FlowSOM_metacluster_25,FlowSOM_metacluster_26,FlowSOM_metacluster_27,FlowSOM_metacluster_28,FlowSOM_metacluster_29,FlowSOM_metacluster_3,FlowSOM_metacluster_30,FlowSOM_metacluster_31,FlowSOM_metacluster_32,FlowSOM_metacluster_33,FlowSOM_metacluster_34,FlowSOM_metacluster_35,FlowSOM_metacluster_36,FlowSOM_metacluster_37,FlowSOM_metacluster_38,FlowSOM_metacluster_39,FlowSOM_metacluster_4,FlowSOM_metacluster_40,FlowSOM_metacluster_5,FlowSOM_metacluster_6,FlowSOM_metacluster_7,FlowSOM_metacluster_8,FlowSOM_metacluster_9
10,P19_C7_D22_T_Cell_Panel,0,20960,1874,27828,1047,1656,12,1310,1703,3654,31648,3799,959,1847,5315,397,1676,49537,20292,930,9344,476,30860,10575,780,1752,13968,2166,234,4469,247,271,9840,6474,89,1289,1936,2550,206,702
11,P12_C12_D29_T_Cell_Panel,0,11257,1175,6175,648,1386,76,252,691,4314,3067,37115,1329,586,1533,565,709,21550,4222,204,4020,1269,78911,17841,246,327,6196,1247,552,1467,81,65,4753,1712,64,11278,32870,5081,1275,639
12,P12_C1_D1_T_Cell_Panel,9210,16624,1,6470,642,2035,586,7,8,8664,2022,208854,627,489,656,382,66,2813,2101,435,1506,503,53707,2456,35,496,170,65,46,201,2052,3974,1062,2116,386,189,40596,327,5204,49
13,P12_C1_D8_T_Cell_Panel,6,65725,2445,13014,3232,568,289,21,69,8524,7501,95817,4823,1065,7592,620,1150,66046,9603,404,14209,3257,54161,49719,1024,1110,22946,2844,2648,1719,115,228,10302,6168,62,2346,103050,2253,2868,115
14,P12_C7_D22_T_Cell_Panel,0,24540,3239,11536,2602,1000,182,156,423,8934,9173,36820,3791,1408,4498,671,690,66054,11096,650,10350,2004,43498,53600,880,1119,16675,2966,1304,1253,194,265,12516,2459,216,6930,21280,2693,1136,579
15,P04_C12_D29_T_Cell_Panel,0,22030,95,10402,2359,41,6,6,20,2468,1194,503,1209,612,1210,75,133,7098,1603,204,1351,121,30503,6293,2634,96,2413,301,112,204,112,35,1295,1416,5,21568,3405,347,47,21
16,P04_C1_D1_T_Cell_Panel,69,7878,0,4750,327,119,10,1,1,2776,645,7382,310,132,143,264,21,2370,662,113,234,215,35863,2544,1624,549,54,29,25,139,2122,5104,707,1986,1439,72,643,92,669,23
17,P04_C1_D8_T_Cell_Panel,0,9392,170,5242,846,351,11,41,121,2274,1050,992,735,127,489,92,166,10444,1546,80,1300,250,17958,10086,4758,190,2865,250,152,207,199,138,1996,679,22,1605,939,1735,153,106
18,P04_C7_D22_T_Cell_Panel,0,18685,982,13322,1359,1356,48,419,849,4164,1962,12845,1291,387,1203,277,239,12782,2349,366,2344,467,49486,12472,3944,237,4854,392,295,361,249,111,2106,1277,23,7511,6109,3156,637,1679
19,P03_C12_D29_T_Cell_Panel,0,3775,197,3300,173,270,4,11,31,786,1007,3924,153,119,635,110,39,799,242,155,1093,26,12940,916,11,75,1293,366,66,29,13,5,81,962,4,101,802,40,337,66
20,P03_C1_D1_T_Cell_Panel,4015,8587,2,8484,1249,107,67,2,3,834,2627,48624,148,226,214,4242,108,2149,591,113,1240,686,9386,2259,3,1434,117,125,7,244,19967,6111,490,2902,341,58,189,12,261,17
21,P03_C1_D8_T_Cell_Panel,0,5854,337,4981,363,384,14,24,65,720,1616,4304,281,122,436,211,64,2553,476,95,2503,118,18260,2668,34,161,4242,776,152,74,69,45,326,1673,29,134,765,162,488,56
22,P03_C7_D1_T_Cell_Panel,0,3146,118,2599,224,243,32,20,48,495,704,2330,166,137,322,180,79,1444,303,63,1698,80,10003,2019,10,113,2844,653,84,42,36,40,156,1146,9,134,691,187,258,35
23,P03_C7_D22_T_Cell_Panel,1,11785,1260,11416,539,1512,69,77,153,2000,3770,27391,651,422,1433,606,326,4634,1173,244,5527,254,56352,5383,50,454,7243,1338,357,196,166,91,486,5123,28,414,3787,259,2431,170
