,FlowSOM_metacluster_ 1,FlowSOM_metacluster_ 2,FlowSOM_metacluster_ 3,FlowSOM_metacluster_ 4,FlowSOM_metacluster_ 5,FlowSOM_metacluster_ 6,FlowSOM_metacluster_ 7,FlowSOM_metacluster_ 8,FlowSOM_metacluster_ 9,FlowSOM_metacluster_ 10,FlowSOM_metacluster_ 11,FlowSOM_metacluster_ 12,FlowSOM_metacluster_ 13,FlowSOM_metacluster_ 14,FlowSOM_metacluster_ 15,FlowSOM_metacluster_ 16,FlowSOM_metacluster_ 17,FlowSOM_metacluster_ 18,FlowSOM_metacluster_ 19,FlowSOM_metacluster_ 20,FlowSOM_metacluster_ 21,FlowSOM_metacluster_ 22,FlowSOM_metacluster_ 23,FlowSOM_metacluster_ 24,FlowSOM_metacluster_ 25,FlowSOM_metacluster_ 26,FlowSOM_metacluster_ 27,FlowSOM_metacluster_ 28,FlowSOM_metacluster_ 29,FlowSOM_metacluster_ 30,FlowSOM_metacluster_ 31,FlowSOM_metacluster_ 32,FlowSOM_metacluster_ 33,FlowSOM_metacluster_ 34,FlowSOM_metacluster_ 35,FlowSOM_metacluster_ 36,FlowSOM_metacluster_ 37,FlowSOM_metacluster_ 38,FlowSOM_metacluster_ 39,FlowSOM_metacluster_ 40,Patient_ID,time
46,2,0,12,26,83,79,15,0,88,16,57,0,0,0,6,1,0,22,1,10,41,1,1,14,1,8,56,18,11,53,81,28,32,11,79,7,10,7,47,1,P02,C1_D1
47,29,55,125,0,0,0,0,49,586,66,108,5,0,19,8,2,0,58,2,2,118,9,0,144,3,22,146,118,57,96,470,104,25,26,253,2,62,16,30,3,P02,C1_D8
48,13,33,77,0,0,0,0,23,554,62,112,5,1,8,9,2,0,58,1,0,133,8,0,171,4,12,198,150,64,66,710,174,13,71,328,0,53,24,39,3,P02,C7_D1
49,2,6,21,0,0,0,0,2,115,18,32,0,0,2,1,0,0,12,1,1,36,1,0,43,2,3,46,42,11,16,136,40,2,14,53,0,6,2,7,0,P02,C7_D22
50,59,88,262,1,0,1,0,50,1153,78,393,24,5,55,63,28,0,94,7,15,638,9,3,407,4,59,585,539,214,301,2046,582,34,115,969,8,179,56,89,6,P02,SPD_2
51,6,11,40,0,0,0,0,8,253,28,61,6,1,3,1,3,0,18,0,2,71,2,0,73,3,6,37,66,29,14,199,80,3,31,81,0,16,3,2,0,P02,SPD
52,7,3,44,80,545,1654,45,11,87,13,216,4,0,2,16,5,0,14,29,20,149,12,23,71,16,83,186,149,79,79,684,353,30,139,557,77,86,26,160,4,P01,C1_D1
53,137,124,1206,1,2,43,0,243,2654,137,676,45,17,67,71,14,0,116,73,1,278,186,24,801,20,374,518,594,1624,852,2730,807,166,211,1630,16,179,161,511,35,P01,C1_D8
54,74,97,704,1,0,28,0,115,1214,86,342,26,5,24,24,3,0,27,27,1,130,112,19,467,14,209,271,350,1021,254,1802,471,62,118,1012,6,124,64,182,7,P01,C12_D29
55,51,41,452,2,0,12,0,48,764,28,129,9,0,14,13,2,0,6,1,1,53,36,0,135,3,35,60,175,486,31,1039,223,3,45,924,2,173,21,11,6,P01,C7_D1
56,15,29,174,2,0,8,0,37,460,24,132,6,1,14,8,2,0,11,4,0,54,53,3,154,8,35,69,114,286,74,586,155,14,25,418,2,55,16,42,1,P01,C7_D22
57,18,9,5,315,161,797,897,8,30,20,62,7,1,4,4,0,0,26,3,103,119,89,12,34,52,26,165,65,26,292,211,146,103,165,1587,58,35,33,161,3,P11,C1_D1
58,2068,868,1514,61,20,226,12,489,3111,641,427,107,16,101,90,31,0,131,8,104,617,2027,33,1142,498,155,509,1434,2652,460,1397,1104,111,324,1437,60,110,227,140,91,P11,C1_D8
59,1656,1021,985,11,4,61,1,293,1899,343,272,142,31,80,48,12,0,372,10,89,406,1437,50,780,596,221,881,1618,1896,1021,2534,1237,275,303,2732,76,165,111,186,51,P11,C12_D29
60,840,515,682,3,1,28,2,152,1233,222,153,52,6,42,22,10,0,30,2,31,201,708,5,415,213,51,250,691,1002,91,674,475,21,107,711,24,106,105,19,19,P11,C7_D1
61,4007,2715,2760,23,6,65,9,869,4905,1212,845,387,51,204,87,55,0,297,15,114,992,3405,64,2493,1151,333,1249,3708,3832,472,3248,2836,76,690,6048,138,299,369,87,78,P11,C7_D22
62,25,2,39,258,693,3569,108,35,201,91,386,1,2,11,30,1,0,269,72,9,355,86,11,115,4,63,419,109,150,707,594,293,265,228,1670,79,67,31,925,1,P28,C1_D1
63,1140,164,4340,66,32,56,7,715,10133,1191,5365,58,10,102,735,300,5,310,13,11,2409,660,16,2657,85,59,591,1545,11176,316,3144,1680,219,384,7471,32,96,212,119,81,P28,C1_D8
64,6,2,146,107,84,206,5,4,5,6,24,0,0,1,13,0,0,14,19,9,35,3,5,7,1,39,39,13,6,37,72,20,17,22,180,21,12,2,35,4,P07,C1_D1
65,37,36,612,0,0,3,0,35,286,22,19,5,0,18,46,1,0,32,5,0,49,38,0,16,3,20,39,46,52,28,99,24,3,3,163,0,10,3,10,6,P07,C1_D8
66,428,612,7128,14,29,21,3,221,4174,372,209,82,54,262,489,70,0,486,214,12,727,399,125,407,59,1610,1493,1084,880,876,3022,528,440,103,3947,14,304,57,298,33,P07,C12_D29
