,Feature,Correlation,P-value
124,IL17F,0.10301695209842054,0.704201930804693
2,ANGPT1,0.10154528135415737,0.7082538611924278
118,IL15RA,0.10154528135415737,0.7082538611924278
85,FLT1,0.09860193986563108,0.7163796723063032
210,TIMP1,0.09860193986563108,0.7163796723063032
134,IL1RL1,0.09860193986563108,0.7163796723063032
164,KLRK1,0.09860193986563108,0.7163796723063032
27,CCL27,0.09860193986563108,0.7163796723063032
109,IL10,0.09713026912136793,0.7204533612901972
1,AGRP,0.09713026912136793,0.7204533612901972
87,FLT4,0.09124358614431533,0.7368177484621781
21,CCL21,0.09124358614431533,0.7368177484621781
159,IL7R,0.08977191540005218,0.7409257646943954
150,IL3RA,0.08535690316726273,0.7532888417075289
94,GZMA,0.08388523242299958,0.7574225448483594
62,CTSS,0.08265702915651313,0.760877113135412
92,GFAP,0.08241356167873644,0.7615624197209059
146,IL34,0.07947022019021013,0.7698602810713127
165,KNG1,0.07947022019021013,0.7698602810713127
72,CXCL2,0.07652687870168383,0.7781816147180738
14,CCL14,0.07505520795742067,0.7823508285466043
179,MMP12,0.07064019572463123,0.7948914247688719
53,CSF1,0.06622518349184178,0.8074792782469515
242,VEGFD,0.06622518349184178,0.8074792782469515
84,FGF23,0.06033850051478917,0.824331718268355
111,IL11,0.06033850051478917,0.824331718268355
155,IL6,0.05739515902626287,0.8327854556156655
15,CCL15,0.052980146793473425,0.8454980659765218
78,EGF,0.05150847604921027,0.8497437091571381
56,CSF2RB,0.05150847604921027,0.8497437091571381
169,LGALS9,0.047093463816420815,0.8625034513002978
171,LILRB2,0.042678451583631365,0.8752951396111206
97,HGF,0.03973511009510507,0.8838392298321894
166,LAG3,0.038263439350841914,0.8881158366818847
75,CXCL6,0.038263439350841914,0.8881158366818847
227,TNFSF10,0.033848427118052464,0.9009625881945321
233,TNFSF18,0.03237675637378931,0.9052501157298697
73,CXCL3,0.027961744140999858,0.918126984873784
194,PDGFB,0.025018402652473556,0.926722363011618
183,MPO,0.023546731908210407,0.9310229589329733
209,THPO,0.02207506116394726,0.9353253445612628
113,IL12p70,0.02060339041968411,0.9396294086034467
18,CCL19,0.02060339041968411,0.9396294086034467
201,SELP,0.019131719675420957,0.943935039657521
86,FLT3LG,0.014716707442631503,0.9568602193882964
112,IL12B,0.013245036698368356,0.9611710025435432
172,LTA,0.013245036698368356,0.9611710025435432
10,CALCA,0.011773365954105204,0.9654827943192481
228,TNFSF11,0.010301695209842055,0.9697954828115619
162,KDR,0.008830024465578904,0.9741089560583861
121,IL17A|IL17F,0.007358353721315752,0.9784231020466425
7,BMP7,0.0,1.0
129,IL18R1,-0.002943341488526301,0.9913684557173232
83,FGF21,-0.004415012232789452,0.9870529639838932
213,TNF,-0.004415012232789452,0.9870529639838932
173,LTA|LTB,-0.005886682977052602,0.9827378087195482
9,C1QA,-0.010301695209842055,0.9697954828115619
235,TNFSF8,-0.013245036698368356,0.9611710025435432
217,TNFRSF13C,-0.016188378186894656,0.9525505566918416
45,CD80,-0.017660048931157808,0.9482421262197389
106,IFNL2; IFNL3,-0.019131719675420957,0.943935039657521
76,CXCL8,-0.023546731908210407,0.9310229589329733
241,VEGFC,-0.023546731908210407,0.9310229589329733
195,PTX3,-0.025018402652473556,0.926722363011618
246,WNT7A,-0.025018402652473556,0.926722363011618
137,IL20,-0.03090508562952616,0.9095400980389841
223,TNFRSF21,-0.03090508562952616,0.9095400980389841
35,CD200R1,-0.033848427118052464,0.9009625881945321
197,S100A9,-0.035320097862315616,0.896677625761926
214,TNFRSF11A,-0.03679176860657876,0.8923953385946604
96,HAVCR1,-0.03679176860657876,0.8923953385946604
100,ICOSLG,-0.03679176860657876,0.8923953385946604
122,IL17B,-0.038263439350841914,0.8881158366818847
82,FGF2,-0.03973511009510507,0.8838392298321894
153,IL5,-0.04120678083936822,0.8795656276665221
91,GDF2,-0.04415012232789452,0.8710278748904619
17,CCL17,-0.04562179307215766,0.8667639425202294
42,CD40LG,-0.04562179307215766,0.8667639425202294
229,TNFSF12,-0.04562179307215766,0.8667639425202294
19,CCL2,-0.04856513456068397,0.8582465098077368
130,IL19,-0.05150847604921027,0.8497437091571381
206,TEK,-0.052980146793473425,0.8454980659765218
219,TNFRSF17,-0.05445181753773657,0.8412564044642662
225,TNFRSF8,-0.055923488281999716,0.8370188319791677
103,IFNB1,-0.06033850051478917,0.824331718268355
80,FASLG,-0.06033850051478917,0.824331718268355
163,KITLG,-0.06033850051478917,0.824331718268355
105,IFNL1,-0.06475351274757862,0.8116852445615588
243,VSNL1,-0.06769685423610493,0.8032782497407666
190,OSMR,-0.06769685423610493,0.8032782497407666
135,IL1RN,-0.07211186646889438,0.7907058367913973
88,FTH1,-0.07505520795742067,0.7823508285466043
151,IL4,-0.08388523242299958,0.7574225448483594
216,TNFRSF13B,-0.08830024465578903,0.7450403518336162
115,IL13,-0.09124358614431533,0.7368177484621781
102,IFNA2,-0.09124358614431533,0.7368177484621781
41,CD40,-0.09860193986563108,0.7163796723063032
104,IFNG,-0.10007361060989423,0.7123131402394751
140,IL24,-0.10154528135415737,0.7082538611924278
63,CX3CL1,-0.10154528135415737,0.7082538611924278
31,CCL5,-0.10596029358694685,0.6961204962142638
181,MMP8,-0.10596029358694685,0.6961204962142638
127,IL18,-0.11331864730826259,0.6760521143157763
95,GZMB,-0.11920533028531519,0.6601425799266655
224,TNFRSF4,-0.12067700102957835,0.656186116862598
141,IL27,-0.1250920132623678,0.6443683646471695
98,HLA-DRA,-0.12656368400663096,0.6404466196034337
51,CNTF,-0.1280353547508941,0.6365337727096072
28,CCL28,-0.12950702549515725,0.6326299103072028
203,SLAMF1,-0.13539370847220986,0.6171060124884012
231,TNFSF14,-0.13686537921647302,0.61324834764271
176,MICB,-0.1515820866591045,0.5752070481300737
186,NCR1,-0.1515820866591045,0.5752070481300737
218,TNFRSF14,-0.15305375740336766,0.5714582023783741
158,IL7,-0.15746876963615708,0.5602741356882956
226,TNFRSF9,-0.15894044038042027,0.5565671861734053
149,IL36G,-0.16188378186894656,0.5491853378865109
70,CXCL14,-0.16188378186894656,0.5491853378865109
25,CCL25,-0.16188378186894656,0.5491853378865109
143,IL2RB,-0.16188378186894656,0.5491853378865109
23,CCL23,-0.16482712335747288,0.5418467058390635
5,AREG,-0.166298794101736,0.5381937741142251
55,CSF2,-0.16924213559026233,0.5309210297729403
116,IL13RA2,-0.17512881856731494,0.5165099373439108
36,CD27,-0.17660048931157807,0.5129355553660633
211,TIMP2,-0.17660048931157807,0.5129355553660633
0,AGER,-0.18248717228863065,0.49875354989484955
37,CD274,-0.18248717228863065,0.49875354989484955
207,TGFB1,-0.1839588430328938,0.49523724663029844
142,IL2RA,-0.1869021845214201,0.4882401123243092
119,IL16,-0.18837385526568326,0.48475940254934036
123,IL17C,-0.1898455260099464,0.48129067733031194
74,CXCL5,-0.19278886749847268,0.4743894151031529
108,IKBKG,-0.19278886749847268,0.4743894151031529
126,IL17RB,-0.19278886749847268,0.4743894151031529
26,CCL26,-0.19426053824273587,0.4709569935368584
120,IL17A,-0.20014722121978845,0.4573500167042257
154,IL5RA,-0.20014722121978845,0.4573500167042257
61,CTLA4,-0.2016188919640516,0.4539792236839837
239,VCAM1,-0.2045622334525779,0.4472751519912378
234,TNFSF4,-0.2045622334525779,0.4472751519912378
177,MIF,-0.20897724568536738,0.43731360129472274
13,CCL13,-0.22369395312799886,0.4049436432683511
161,IRAK4,-0.2310523068493146,0.3892505371419813
93,GRN,-0.23693898982636719,0.37693674370191377
188,NTF3,-0.23841066057063037,0.37389202799249144
30,CCL4,-0.23841066057063037,0.37389202799249144
128,IL18BP,-0.24282567280341982,0.3648393808414766
191,PDCD1,-0.24724068503620927,0.3559096492305296
184,MUC16,-0.2590140509903145,0.33270385486152365
39,CD3E,-0.2604857217345777,0.3298656564273067
68,CXCL12,-0.2693157462001565,0.3131305908818494
136,IL2,-0.2928624781083669,0.2709906582400366
33,CCL8,-0.2943341488526301,0.2684777709386866
69,CXCL13,-0.303164173318209,0.2536999992341984
57,CSF3,-0.3090508562952616,0.244133501370138
29,CCL3,-0.31052252703952476,0.24177753288021345
101,IFNA1; IFNA13,-0.31346586852805103,0.2371083564731002
20,CCL20,-0.32523923448215625,0.21900083293368017
144,IL32,-0.33406925894773515,0.20601568294752204
