,Feature,Correlation,P-value
158,IL7,0.27499999999999997,0.3212111733193767
76,CXCL8,0.27499999999999997,0.3212111733193767
116,IL13RA2,0.2678571428571428,0.3344436005123538
127,IL18,0.2642857142857143,0.3411737579900821
112,IL12B,0.2642857142857143,0.3411737579900821
153,IL5,0.2642857142857143,0.3411737579900821
186,NCR1,0.25,0.36884629178393047
23,CCL23,0.24285714285714283,0.38312834183934175
207,TGFB1,0.24285714285714283,0.38312834183934175
140,IL24,0.23928571428571427,0.39037931192023567
109,IL10,0.23928571428571427,0.39037931192023567
5,AREG,0.23571428571428568,0.3977029459032728
103,IFNB1,0.2321428571428571,0.40509874069364893
136,IL2,0.2285714285714285,0.41256617049636035
168,LCN2,0.2285714285714285,0.41256617049636035
22,CCL22,0.22499999999999998,0.420104686907635
73,CXCL3,0.22142857142857136,0.42771371901637
184,MUC16,0.21428571428571427,0.44314093482351424
235,TNFSF8,0.21071428571428572,0.450957865215285
113,IL12p70,0.19999999999999998,0.4748139645221684
225,TNFRSF8,0.1928571428571428,0.4910487016052232
155,IL6,0.18928571428571428,0.49926303323854526
21,CCL21,0.18928571428571428,0.49926303323854526
41,CD40,0.1857142857142857,0.5075409629336737
178,MMP1,0.1857142857142857,0.5075409629336737
223,TNFRSF21,0.18214285714285713,0.5158816817070392
34,CD200,0.175,0.5327481481378592
111,IL11,0.175,0.5327481481378592
72,CXCL2,0.1714285714285714,0.5412721760996331
68,CXCL12,0.16428571428571426,0.5584973732486012
216,TNFRSF13B,0.16428571428571426,0.5584973732486012
165,KNG1,0.16428571428571426,0.5584973732486012
240,VEGFA,0.1607142857142857,0.5671967045803448
177,MIF,0.15714285714285714,0.5759526006037947
27,CCL27,0.15357142857142855,0.5847640949410158
188,NTF3,0.15,0.5936302027425882
221,TNFRSF1A,0.1464285714285714,0.602549920983054
205,TAFA5,0.14285714285714282,0.6115222287644655
50,CLEC4A,0.14285714285714282,0.6115222287644655
87,FLT4,0.1357142857142857,0.6296204418728145
0,AGER,0.13214285714285715,0.6387442188840665
25,CCL25,0.12857142857142856,0.6479163294665075
143,IL2RB,0.12857142857142856,0.6479163294665075
96,HAVCR1,0.125,0.6571356681869504
60,CTF1,0.125,0.6571356681869504
217,TNFRSF13C,0.12142857142857141,0.6664011137233894
118,IL15RA,0.11785714285714284,0.6757115292213043
119,IL16,0.11785714285714284,0.6757115292213043
164,KLRK1,0.11428571428571425,0.6850657626568972
194,PDGFB,0.10714285714285714,0.7039010016261615
179,MMP12,0.10714285714285714,0.7039010016261615
210,TIMP1,0.0964285714285714,0.7324528633867308
236,TNFSF9,0.0964285714285714,0.7324528633867308
154,IL5RA,0.09285714285714285,0.742045009907367
183,MPO,0.08928571428571427,0.751672517350277
6,BDNF,0.08928571428571427,0.751672517350277
171,LILRB2,0.08928571428571427,0.751672517350277
137,IL20,0.0857142857142857,0.7613341261907667
83,FGF21,0.07857142857142857,0.7807545523090466
142,IL2RA,0.075,0.7905107941552679
224,TNFRSF4,0.075,0.7905107941552679
244,VSTM1,0.06785714285714285,0.8101088187105131
107,IFNW1,0.06785714285714285,0.8101088187105131
110,IL10RB,0.06428571428571428,0.8199479653196377
181,MMP8,0.06428571428571428,0.8199479653196377
209,THPO,0.06071428571428571,0.8298120954425188
2,ANGPT1,0.05714285714285713,0.8396998687415758
13,CCL13,0.05714285714285713,0.8396998687415758
49,CHI3L1,0.05714285714285713,0.8396998687415758
95,GZMB,0.05357142857142857,0.8496099367776071
78,EGF,0.04642857142857142,0.8694915255450946
162,KDR,0.04285714285714285,0.8794603130258999
16,CCL16,0.04285714285714285,0.8794603130258999
8,BST2,0.039285714285714285,0.8894459296739485
29,CCL3,0.039285714285714285,0.8894459296739485
218,TNFRSF14,0.039285714285714285,0.8894459296739485
35,CD200R1,0.035714285714285705,0.8994469934720875
51,CNTF,0.035714285714285705,0.8994469934720875
135,IL1RN,0.035714285714285705,0.8994469934720875
97,HGF,0.035714285714285705,0.8994469934720875
175,MICA,0.03214285714285714,0.9094621170945906
90,GDF15,0.03214285714285714,0.9094621170945906
134,IL1RL1,0.028571428571428564,0.9194899083821857
64,CXADR,0.028571428571428564,0.9194899083821857
58,CSF3R,0.028571428571428564,0.9194899083821857
42,CD40LG,0.024999999999999998,0.9295289708192378
213,TNF,0.024999999999999998,0.9295289708192378
31,CCL5,0.021428571428571425,0.9395779040128779
74,CXCL5,0.017857142857142853,0.9496353041738621
32,CCL7,0.017857142857142853,0.9496353041738621
132,IL1R1,0.014285714285714282,0.9596997645989476
