,Feature,Correlation,P-value
142,IL2RA,-0.14128039144926247,0.6017326243235575
205,TAFA5,-0.1427520621935256,0.5979134125091117
113,IL12p70,-0.1456954036820519,0.5903045164330336
35,CD200R1,-0.1456954036820519,0.5903045164330336
38,CD276,-0.14716707442631505,0.5865149912241784
220,TNFRSF18,-0.15305375740336766,0.5714582023783741
110,IL10RB,-0.15746876963615708,0.5602741356882956
233,TNFSF18,-0.15746876963615708,0.5602741356882956
139,IL23,-0.16188378186894656,0.5491853378865109
1,AGRP,-0.166298794101736,0.5381937741142251
46,CD83,-0.16924213559026233,0.5309210297729403
236,TNFSF9,-0.16924213559026233,0.5309210297729403
118,IL15RA,-0.17512881856731494,0.5165099373439108
79,EPO,-0.17512881856731494,0.5165099373439108
53,CSF1,-0.17660048931157807,0.5129355553660633
115,IL13,-0.17807216005584123,0.5093726614235989
80,FASLG,-0.17954383080010436,0.5058213200792159
70,CXCL14,-0.19131719675420955,0.4778339954856994
242,VEGFD,-0.2016188919640516,0.4539792236839837
216,TNFRSF13B,-0.20750557494110425,0.44062144334085274
112,IL12B,-0.20750557494110425,0.44062144334085274
203,SLAMF1,-0.20897724568536738,0.43731360129472274
11,CCL1,-0.21339225791815683,0.4274667115459949
44,CD70,-0.21780727015094628,0.4177357681071876
93,GRN,-0.23841066057063037,0.37389202799249144
130,IL19,-0.2501840265247356,0.35002518025763796
137,IL20,-0.2619573924788408,0.3270414301127119
136,IL2,-0.2619573924788408,0.3270414301127119
219,TNFRSF17,-0.2678440754558934,0.3158846559963727
225,TNFRSF8,-0.2693157462001565,0.3131305908818494
164,KLRK1,-0.2781457706657355,0.2969025709419665
128,IL18BP,-0.28108911215426174,0.291606476021242
84,FGF23,-0.2869757951313143,0.2811847165470148
47,CD93,-0.31493753927231416,0.234795138020984
239,VCAM1,-0.31640921001657735,0.23249615783122818
147,IL36A,-0.32965424671494575,0.21244465150836178
40,CD4,-0.33406925894773515,0.20601568294752204
143,IL2RB,-0.3428992834133141,0.19353772308038858
132,IL1R1,-0.34437095415757724,0.1915071140717468
36,CD27,-0.36350267383299817,0.16637152990228724
186,NCR1,-0.3767477105313665,0.1503235117036318
167,LAMP3,-0.37821938127562965,0.14860761980256862
176,MICB,-0.3899927472297349,0.13535707873296213
106,IFNL2; IFNL3,-0.39882277169531377,0.12596731375787312
23,CCL23,-0.4150111498822085,0.10994114720804482
0,AGER,-0.42531284509205053,0.10052087495622733
15,CCL15,-0.44297289402320833,0.08572458350388919
3,ANGPT2,-0.4576896014658398,0.07464389856838684
34,CD200,-0.507726406770787,0.04467068000804308
14,CCL14,-0.5459898461216289,0.028674070658856906
