,Feature,Correlation,P-value
32,CCL7,0.2911764705882353,0.27388704841914874
5,AREG,0.28529411764705886,0.28413874015956303
114,IL12RB1,0.2764705882352941,0.2999421284923735
103,IFNB1,0.2764705882352941,0.2999421284923735
181,MMP8,0.2647058823529412,0.3218043958686153
95,GZMB,0.26176470588235295,0.3274104118125859
19,CCL2,0.2441176470588235,0.3622134961419501
39,CD3E,0.2323529411764706,0.38651134990798475
77,CXCL9,0.22647058823529412,0.3989829266412891
91,GDF2,0.22058823529411767,0.4116664304979635
215,TNFRSF11B,0.22058823529411767,0.4116664304979635
66,CXCL10,0.21764705882352942,0.41808684161130294
135,IL1RN,0.2088235294117647,0.43765851094980035
11,CCL1,0.19999999999999998,0.45768790507519985
240,VEGFA,0.19705882352941176,0.46446421122573867
170,LIF,0.19117647058823528,0.47816401281702825
145,IL33,0.17941176470588235,0.5061395399904385
62,CTSS,0.17699192050323934,0.5119867819213351
176,MICB,0.1647058823529412,0.5421481352010777
18,CCL19,0.15882352941176472,0.5568612810855389
112,IL12B,0.15294117647058825,0.5717446192454616
182,MMP9,0.14705882352941177,0.5867933937012053
188,NTF3,0.14705882352941177,0.5867933937012053
189,OSM,0.13529411764705881,0.6173674089706418
184,MUC16,0.1323529411764706,0.6251064291516133
89,FURIN,0.12352941176470587,0.6485420669723405
49,CHI3L1,0.12352941176470587,0.6485420669723405
30,CCL4,0.12352941176470587,0.6485420669723405
113,IL12p70,0.1176470588235294,0.6643410791623536
96,HAVCR1,0.1176470588235294,0.6643410791623536
187,NGF,0.10882352941176471,0.688288293957414
7,BMP7,0.10588235294117648,0.6963341050381157
50,CLEC4A,0.10588235294117648,0.6963341050381157
94,GZMA,0.08823529411764705,0.7452220943671326
106,IFNL2; IFNL3,0.07941176470588236,0.770025319039825
131,IL1B,0.07941176470588236,0.770025319039825
27,CCL27,0.07058823529411765,0.795039302337628
241,VEGFC,0.07058823529411765,0.795039302337628
59,CST7,0.06470588235294117,0.8118214513105935
196,S100A12,0.06176470588235294,0.8202418775044894
20,CCL20,0.06176470588235294,0.8202418775044894
98,HLA-DRA,0.055882352941176466,0.8371372217954723
8,BST2,0.055882352941176466,0.8371372217954723
51,CNTF,0.049999999999999996,0.8540995521297436
195,PTX3,0.047058823529411764,0.8626036946668731
92,GFAP,0.047058823529411764,0.8626036946668731
100,ICOSLG,0.03823529411764706,0.8881976539853073
102,IFNA2,0.03823529411764706,0.8881976539853073
87,FLT4,0.03529411764705882,0.8967532476935333
104,IFNG,0.01764705882352941,0.9482801500547112
54,CSF1R,0.0058823529411764705,0.9827505044191351
61,CTLA4,0.0029411764705882353,0.9913748045563624
171,LILRB2,0.0029411764705882353,0.9913748045563624
55,CSF2,0.0,1.0
153,IL5,0.0,1.0
111,IL11,-0.0029411764705882353,0.9913748045563624
81,FGF19,-0.008823529411764706,0.9741279946623942
226,TNFRSF9,-0.014705882352941175,0.956891924031642
125,IL17RA,-0.014705882352941175,0.956891924031642
29,CCL3,-0.02058823529411765,0.9396737397890448
101,IFNA1; IFNA13,-0.02647058823529412,0.9224805705017287
83,FGF21,-0.02941176470588235,0.9138955872505001
149,IL36G,-0.032352941176470584,0.9053195187918449
116,IL13RA2,-0.03529411764705882,0.8967532476935333
208,THBS2,-0.03823529411764706,0.8881976539853073
115,IL13,-0.047058823529411764,0.8626036946668731
79,EPO,-0.06176470588235294,0.8202418775044894
165,KNG1,-0.06764705882352941,0.8034203137966691
246,WNT7A,-0.06764705882352941,0.8034203137966691
200,SELE,-0.07647058823529412,0.7783409809607029
43,CD46,-0.09411764705882353,0.7288144270239805
40,CD4,-0.09999999999999999,0.7125163701282782
235,TNFSF8,-0.10294117647058824,0.7044103818167706
57,CSF3,-0.10882352941176471,0.688288293957414
168,LCN2,-0.12058823529411765,0.6564245147485952
24,CCL24,-0.12058823529411765,0.6564245147485952
232,TNFSF15,-0.12352941176470587,0.6485420669723405
105,IFNL1,-0.12941176470588234,0.63288233246826
25,CCL25,-0.1323529411764706,0.6251064291516133
120,IL17A,-0.1411764705882353,0.6020026838819791
64,CXADR,-0.14411764705882352,0.5943782881736932
227,TNFSF10,-0.14411764705882352,0.5943782881736932
141,IL27,-0.14705882352941177,0.5867933937012053
160,IL9,-0.14705882352941177,0.5867933937012053
218,TNFRSF14,-0.14705882352941177,0.5867933937012053
90,GDF15,-0.14705882352941177,0.5867933937012053
236,TNFSF9,-0.15294117647058825,0.5717446192454616
71,CXCL16,-0.15294117647058825,0.5717446192454616
212,TLR3,-0.15588235294117647,0.5642819694728023
138,IL22,-0.15588235294117647,0.5642819694728023
34,CD200,-0.15882352941176472,0.5568612810855389
214,TNFRSF11A,-0.15882352941176472,0.5568612810855389
203,SLAMF1,-0.1647058823529412,0.5421481352010777
244,VSTM1,-0.1647058823529412,0.5421481352010777
191,PDCD1,-0.17058823529411765,0.527609768861268
211,TIMP2,-0.17352941176470588,0.5204075144487408
238,TREM2,-0.17352941176470588,0.5204075144487408
204,SPP1,-0.17941176470588235,0.5061395399904385
0,AGER,-0.18235294117647058,0.49907485724580003
88,FTH1,-0.18235294117647058,0.49907485724580003
22,CCL22,-0.18529411764705883,0.4920570502059438
234,TNFSF4,-0.18823529411764706,0.4850866091454682
