,Feature,Correlation,P-value
214,TNFRSF11A,0.23571428571428568,0.3977029459032728
44,CD70,0.2285714285714285,0.41256617049636035
196,S100A12,0.2285714285714285,0.41256617049636035
50,CLEC4A,0.2285714285714285,0.41256617049636035
246,WNT7A,0.22499999999999998,0.420104686907635
172,LTA,0.22142857142857136,0.42771371901637
209,THPO,0.2178571428571428,0.43539267351553756
192,PDCD1LG2,0.21428571428571427,0.44314093482351424
141,IL27,0.21428571428571427,0.44314093482351424
72,CXCL2,0.21071428571428572,0.450957865215285
80,FASLG,0.2071428571428571,0.4588428049634703
178,MMP1,0.2071428571428571,0.4588428049634703
207,TGFB1,0.1964285714285714,0.4828987562716336
27,CCL27,0.18928571428571428,0.49926303323854526
106,IFNL2; IFNL3,0.1857142857142857,0.5075409629336737
225,TNFRSF8,0.1857142857142857,0.5075409629336737
220,TNFRSF18,0.1857142857142857,0.5075409629336737
177,MIF,0.1857142857142857,0.5075409629336737
100,ICOSLG,0.18214285714285713,0.5158816817070392
42,CD40LG,0.18214285714285713,0.5158816817070392
26,CCL26,0.17857142857142855,0.5242843600465525
115,IL13,0.175,0.5327481481378592
188,NTF3,0.16785714285714282,0.5498555542278019
200,SELE,0.16785714285714282,0.5498555542278019
219,TNFRSF17,0.16785714285714282,0.5498555542278019
45,CD80,0.16428571428571426,0.5584973732486012
168,LCN2,0.15,0.5936302027425882
32,CCL7,0.1464285714285714,0.602549920983054
87,FLT4,0.14285714285714282,0.6115222287644655
245,WNT16,0.13214285714285715,0.6387442188840665
104,IFNG,0.12857142857142856,0.6479163294665075
204,SPP1,0.12857142857142856,0.6479163294665075
155,IL6,0.125,0.6571356681869504
83,FGF21,0.125,0.6571356681869504
145,IL33,0.11785714285714284,0.6757115292213043
166,LAG3,0.11428571428571425,0.6850657626568972
17,CCL17,0.10714285714285714,0.7039010016261615
164,KLRK1,0.10714285714285714,0.7039010016261615
107,IFNW1,0.10357142857142855,0.7133796306287292
181,MMP8,0.10357142857142855,0.7133796306287292
66,CXCL10,0.09999999999999999,0.7228973252791182
121,IL17A|IL17F,0.09999999999999999,0.7228973252791182
171,LILRB2,0.0964285714285714,0.7324528633867308
242,VEGFD,0.0964285714285714,0.7324528633867308
189,OSM,0.09285714285714285,0.742045009907367
117,IL15,0.08928571428571427,0.751672517350277
0,AGER,0.0857142857142857,0.7613341261907667
19,CCL2,0.08214285714285713,0.7710285652881772
243,VSNL1,0.08214285714285713,0.7710285652881772
109,IL10,0.075,0.7905107941552679
187,NGF,0.075,0.7905107941552679
218,TNFRSF14,0.07142857142857141,0.8002959873970544
135,IL1RN,0.06428571428571428,0.8199479653196377
211,TIMP2,0.06071428571428571,0.8298120954425188
46,CD83,0.06071428571428571,0.8298120954425188
61,CTLA4,0.05714285714285713,0.8396998687415758
169,LGALS9,0.049999999999999996,0.859540943467457
136,IL2,0.04285714285714285,0.8794603130258999
149,IL36G,0.039285714285714285,0.8894459296739485
154,IL5RA,0.039285714285714285,0.8894459296739485
173,LTA|LTB,0.039285714285714285,0.8894459296739485
179,MMP12,0.035714285714285705,0.8994469934720875
140,IL24,0.03214285714285714,0.9094621170945906
56,CSF2RB,0.028571428571428564,0.9194899083821857
34,CD200,0.028571428571428564,0.9194899083821857
226,TNFRSF9,0.024999999999999998,0.9295289708192378
47,CD93,0.024999999999999998,0.9295289708192378
28,CCL28,0.014285714285714282,0.9596997645989476
130,IL19,0.010714285714285713,0.9697698761545686
65,CXCL1,0.007142857142857141,0.9798442277615982
93,GRN,0.007142857142857141,0.9798442277615982
114,IL12RB1,0.0,1.0
97,HGF,0.0,1.0
142,IL2RA,-0.010714285714285713,0.9697698761545686
170,LIF,-0.017857142857142853,0.9496353041738621
4,ANXA1,-0.017857142857142853,0.9496353041738621
237,TREM1,-0.021428571428571425,0.9395779040128779
182,MMP9,-0.021428571428571425,0.9395779040128779
240,VEGFA,-0.028571428571428564,0.9194899083821857
101,IFNA1; IFNA13,-0.028571428571428564,0.9194899083821857
238,TREM2,-0.03214285714285714,0.9094621170945906
239,VCAM1,-0.03214285714285714,0.9094621170945906
85,FLT1,-0.035714285714285705,0.8994469934720875
222,TNFRSF1B,-0.035714285714285705,0.8994469934720875
221,TNFRSF1A,-0.039285714285714285,0.8894459296739485
18,CCL19,-0.04285714285714285,0.8794603130258999
68,CXCL12,-0.04285714285714285,0.8794603130258999
108,IKBKG,-0.04285714285714285,0.8794603130258999
132,IL1R1,-0.04642857142857142,0.8694915255450946
162,KDR,-0.04642857142857142,0.8694915255450946
36,CD27,-0.04642857142857142,0.8694915255450946
